Artist,title
Beastie Boys,Sure Shot
DJ Format,We Know Something You Don't Know
Fun Lovin'Criminals,Smoke 'Em
Young MC,Principal's Office
Eric B and Rakim,Paid in Full
The Sugarhill Gang,Rapper's Delight
NWA,Express Yourself
Biz Markie,Just a Friend
Jurassic 5,Quality Control
A Tribe Called Quest,Electric Relaxation
Busta Rhymes,Gimme Some More
Busta Rhymes,Woo Hah!
The Pharcyde,Runnin'
Xzibit,X
"Mark Ronson feat Ghost Face Killah, Nate Dogg",Ooh Wee
Savage,Swing
Jurassic 5,Concrete Schoolyard
Arrested Development,Mr Wendal
De La Soul,Ring Ring Ring
DJ Jazzy Jeff & The Fresh Prince,Summertime
Redhead Kingpin,Do The Right Thing
Heavy D and the Boyz,Is It Good To You
Father MC,I'll Do 4 U
Wreckx-N-Effect,Rump Shaker
Ol' Dirty Bastard,Shimmy Shimmy Ya
Ol' Dirty Bastard,Got Your Money
